timestamp,time_seconds,timestamp_ns,tracker_left_x,tracker_left_y,tracker_left_z,tracker_left_qw,tracker_left_qx,tracker_left_qy,tracker_left_qz,tracker_right_x,tracker_right_y,tracker_right_z,tracker_right_qw,tracker_right_qx,tracker_right_qy,tracker_right_qz,tracker_head_x,tracker_head_y,tracker_head_z,tracker_head_qw,tracker_head_qx,tracker_head_qy,tracker_head_qz
2026-03-27T18:04:09.089772+00:00,1.077815,1774634649089772000,1.46514,0.545441,0.793405,0.45616,-0.741543,-0.435443,0.228228,-0.193016,-0.168048,0.355043,0.341396,0.371822,-0.622754,-0.596194,0.46159,0.325848,0.437536,0.579148,-0.119132,-0.764593,-0.256324
2026-03-27T18:04:09.106772+00:00,1.094815,1774634649106771800,1.465348,0.54546,0.793127,0.456392,-0.741167,-0.434987,0.228087,-0.193509,-0.167253,0.356057,0.341196,0.372969,-0.626576,-0.593392,0.461767,0.325724,0.437559,0.578381,-0.119124,-0.765434,-0.256686
2026-03-27T18:04:09.123993+00:00,1.112035,1774634649123992700,1.46556,0.545483,0.792855,0.456491,-0.741045,-0.434936,0.227918,-0.193979,-0.16646,0.357018,0.341202,0.373621,-0.629477,-0.590601,0.461859,0.325674,0.437589,0.578358,-0.119031,-0.764806,-0.256462
2026-03-27T18:04:09.140854+00:00,1.128897,1774634649140854200,1.465762,0.545475,0.792593,0.456393,-0.741653,-0.435623,0.227989,-0.194428,-0.165684,0.358053,0.342009,0.373376,-0.63075,-0.58612,0.462024,0.325591,0.437576,0.577645,-0.119302,-0.766199,-0.256804
2026-03-27T18:04:09.158706+00:00,1.146749,1774634649158706300,1.465966,0.545486,0.79233,0.456363,-0.742188,-0.436245,0.227823,-0.194821,-0.164886,0.359075,0.341946,0.373847,-0.633568,-0.582839,0.46213,0.325518,0.437591,0.577391,-0.119277,-0.765694,-0.256697
2026-03-27T18:04:09.177544+00:00,1.165587,1774634649177544400,1.466154,0.545498,0.792066,0.457483,-0.740839,-0.435783,0.227145,-0.195119,-0.164077,0.360192,0.34126,0.374419,-0.637813,-0.580214,0.462316,0.325418,0.437596,0.576612,-0.119477,-0.766672,-0.257306
2026-03-27T18:04:09.192909+00:00,1.180952,1774634649192908900,1.466365,0.545508,0.791857,0.45816,-0.740032,-0.435756,0.226556,-0.195318,-0.163343,0.361048,0.340993,0.374616,-0.641609,-0.578826,0.462448,0.325359,0.43761,0.576641,-0.119371,-0.766007,-0.257073
2026-03-27T18:04:09.210025+00:00,1.198067,1774634649210024600,1.466558,0.545474,0.79165,0.458372,-0.740236,-0.435769,0.225935,-0.195522,-0.162502,0.362006,0.34236,0.372919,-0.642023,-0.573261,0.462671,0.325272,0.437591,0.576026,-0.119536,-0.766785,-0.257386
2026-03-27T18:04:09.227004+00:00,1.215047,1774634649227004100,1.466764,0.545461,0.791446,0.458432,-0.740905,-0.436429,0.225544,-0.195591,-0.161676,0.36295,0.341632,0.373211,-0.647543,-0.571719,0.462797,0.325217,0.437566,0.575991,-0.119504,-0.766165,-0.257182
2026-03-27T18:04:09.244057+00:00,1.2321,1774634649244057300,1.466964,0.545458,0.791237,0.458383,-0.741369,-0.436998,0.225286,-0.195656,-0.160765,0.363891,0.342319,0.371943,-0.649484,-0.566867,0.46302,0.325115,0.437517,0.5752,-0.119693,-0.767047,-0.257573
2026-03-27T18:04:09.261013+00:00,1.249055,1774634649261012500,1.46711,0.545473,0.791019,0.459184,-0.739968,-0.436751,0.224524,-0.195661,-0.159809,0.364717,0.342314,0.371481,-0.65373,-0.563631,0.46318,0.32501,0.437437,0.575047,-0.119865,-0.767234,-0.257886
2026-03-27T18:04:09.277905+00:00,1.265948,1774634649277905300,1.467254,0.545468,0.790801,0.459143,-0.740424,-0.437334,0.224244,-0.195632,-0.158851,0.365565,0.343074,0.37044,-0.656976,-0.559202,0.463396,0.324898,0.437367,0.574875,-0.120061,-0.766798,-0.257994
2026-03-27T18:04:09.294834+00:00,1.282876,1774634649294833700,1.467384,0.545483,0.790584,0.459197,-0.74077,-0.43786,0.223789,-0.195576,-0.157816,0.366353,0.344042,0.369237,-0.660082,-0.555155,0.463617,0.324765,0.43728,0.574164,-0.120312,-0.767569,-0.25808
2026-03-27T18:04:09.312312+00:00,1.300355,1774634649312312200,1.467499,0.545482,0.790367,0.459888,-0.739644,-0.438008,0.222929,-0.195384,-0.156827,0.367231,0.344642,0.368161,-0.663488,-0.552189,0.463885,0.324625,0.437146,0.573979,-0.120644,-0.767793,-0.2584
